domain,phylum,class,order,family,genus,species,acronym,exists_in_registry,gram_stain,microorganism_code,microorganism_name
Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,species,PAEN_SPEC,False,,Paenibacillus species,Paenibacillus species
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,(enterobacter) agglomerans,PANT_(ENT,False,,Pantoea (enterobacter) agglomerans,Pantoea (enterobacter) agglomerans
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pantoea,species,PANT_SPEC,False,,Pantoea species,Pantoea species
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Pasteurella,canis,PAST_CANI,True,,Pasteurella canis,Pasteurella canis
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Pasteurella,multocida,PAST_MULT,True,,Pasteurella multocida,Pasteurella multocida
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Pasteurella,species,PAST_SPEC,False,,Pasteurella species,Pasteurella species
Bacteria,Firmicutes,Clostridia,Tissierellales,Peptoniphilaceae,Peptoniphilus,(peptostreptococcus) species,PEPT_(PEP,False,,Peptoniphilus (peptostreptococcus) species,Peptoniphilus (peptostreptococcus) species
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Plesiomonas,shigelloides,PLES_SHIG,True,n,Plesiomonas shigelloides,Plesiomonas shigelloides
,,,,,Positive,for group b beta streptococci,P_F_G_B_B_S,False,,Positive for group b beta streptococci,Positive for group b beta streptococci
,,,,,Positive,for methicillin resistant staph aureus,P_F_M_R_S_A,False,,Positive for methicillin resistant staph aureus,Positive for methicillin resistant staph aureus
